"registration_day,""payment_day"",""source_id"",""sum_net"""
"2015-09-16,""2015-10-14"",1,10.27"
"2015-07-15,""2015-07-24"",2,69.92"
"2015-08-31,""2015-11-11"",1,12.88"
"2015-06-21,""2015-08-09"",2,8.86"
"2015-10-20,""2015-11-24"",2,30.4"
"2015-09-07,""2015-09-12"",2,4.29"
"2015-09-12,""2015-10-25"",2,0.89"
"2015-08-08,""2015-08-17"",2,12.69"
"2015-09-18,""2015-10-03"",2,8.39"
"2015-10-09,""2015-10-18"",2,19.8"
"2015-07-04,""2015-09-29"",2,10.29"
"2015-11-11,""2015-11-30"",2,26.01"
"2015-07-04,""2015-07-31"",2,13.9"
"2015-08-16,""2015-09-22"",2,5.77"
"2015-07-12,""2015-07-15"",2,-5.34"
"2015-07-04,""2015-10-03"",2,11.15"
"2015-09-27,""2015-11-28"",1,12.49"
"2015-10-15,""2015-11-13"",2,21.63"
"2015-11-12,""2015-11-26"",1,18.95"
"2015-07-18,""2015-09-19"",2,17.25"
"2015-11-08,""2015-11-21"",2,10.28"
"2015-10-12,""2015-11-04"",2,0.84"
"2015-09-04,""2015-09-15"",2,14.02"
"2015-08-11,""2015-12-04"",2,0.33"
"2015-09-23,""2015-11-27"",2,6.96"
"2015-07-23,""2015-08-29"",2,13.2"
"2015-10-10,""2015-10-22"",1,16.43"
"2015-06-18,""2015-06-21"",2,5"
"2015-08-27,""2015-11-06"",2,0.53"
"2015-09-24,""2015-11-19"",1,5.88"
"2015-07-26,""2015-10-21"",2,10.18"
"2015-10-31,""2015-11-29"",2,0.86"
"2015-08-16,""2015-11-05"",2,0.6"
"2015-09-13,""2015-11-18"",1,10.33"
"2015-08-11,""2015-09-23"",2,0.63"
"2015-09-08,""2015-10-06"",1,7.74"
"2015-10-20,""2015-10-23"",2,21.5"
"2015-07-07,""2015-07-16"",2,7.18"
"2015-09-04,""2015-10-17"",2,13.14"
"2015-10-02,""2015-10-30"",1,0.49"
"2015-06-29,""2015-10-04"",2,9.56"
"2015-07-31,""2015-08-09"",2,16.57"
"2015-09-16,""2015-11-27"",1,30.35"
"2015-09-10,""2015-09-21"",2,27.83"
"2015-09-05,""2015-09-27"",1,2.41"
"2015-09-12,""2015-11-22"",2,0.39"
"2015-10-16,""2015-12-07"",1,7.3"
"2015-08-27,""2015-10-13"",2,12.88"
"2015-12-01,""2015-12-05"",1,72.08"
"2015-06-26,""2015-10-23"",2,12.82"
"2015-10-28,""2015-11-20"",2,18.53"
"2015-11-25,""2015-12-03"",1,8.54"
"2015-10-31,""2015-11-13"",2,0.58"
"2015-09-23,""2015-10-02"",2,3.05"
"2015-08-11,""2015-09-07"",2,0.36"
"2015-07-07,""2015-09-02"",2,5.5"
"2015-09-16,""2015-11-11"",1,3.98"
"2015-08-14,""2015-09-16"",2,1.33"
"2015-08-03,""2015-11-26"",2,1.21"
"2015-10-02,""2015-10-14"",1,12.4"
"2015-07-04,""2015-10-31"",2,7.72"
"2015-07-23,""2015-09-26"",2,28.3"
"2015-10-10,""2015-11-19"",1,4.59"
"2015-10-28,""2015-11-04"",2,86.6"
"2015-10-05,""2015-10-07"",1,22.52"
"2015-11-03,""2015-11-06"",2,1.96"
"2015-08-08,""2015-08-29"",2,5.96"
"2015-09-05,""2015-09-11"",1,2.56"
